There are 5132 results in 206 pages.
Postcode 1058GD: 4882 EUR/m2 (128m2 E625000, appartement)
Postcode 1102ST: 2257 EUR/m2 (95m2 E214500, appartement)
Postcode 1102SV: 2580 EUR/m2 (50m2 E129000, appartement)
Postcode 1098JP: 3493 EUR/m2 (77m2 E269000, appartement)
Postcode 1104DB: 1565 EUR/m2 (99m2 E155000, woonhuis)
Postcode 1065BD: 3744 EUR/m2 (227m2 E850000, woonhuis)
Postcode 1094EC: 4750 EUR/m2 (40m2 E190000, appartement)
Postcode 1094EC: 4846 EUR/m2 (39m2 E189000, appartement)
Postcode 1019TS: 3890 EUR/m2 (100m2 E389000, woonhuis)
Postcode 1095EP: 4000 EUR/m2 (50m2 E200000, appartement)
Postcode 1095ER: 4000 EUR/m2 (50m2 E200000, appartement)
Postcode 1024BM: 2692 EUR/m2 (65m2 E175000, appartement)
 - Running average after this page is 3776
Postcode 1035JC: 1866 EUR/m2 (142m2 E265000, woonhuis)
Postcode 1087LE: 3733 EUR/m2 (154m2 E575000, woonhuis)
Postcode 1051GD: 4021 EUR/m2 (46m2 E185000, appartement)
Postcode 1087DC: 3543 EUR/m2 (151m2 E535000, woonhuis)
Postcode 1056HR: 3808 EUR/m2 (47m2 E179000, appartement)
Postcode 1034CR: 3666 EUR/m2 (45m2 E165000, appartement)
Postcode 1102AB: 1724 EUR/m2 (145m2 E250000, appartement)
Postcode 1052NA: 4487 EUR/m2 (41m2 E184000, appartement)
Postcode 1102SP: 1750 EUR/m2 (100m2 E175000, woonhuis)
Postcode 1016KW: 5453 EUR/m2 (64m2 E349000, appartement)
Postcode 1056XA: 4261 EUR/m2 (42m2 E179000, appartement)
Postcode 1066MG: 2455 EUR/m2 (112m2 E275000, woonhuis)
Postcode 1058XE: 4650 EUR/m2 (60m2 E279000, appartement)
Postcode 1053PK: 4818 EUR/m2 (55m2 E265000, appartement)
Postcode 1019AW: 3937 EUR/m2 (175m2 E689000, woonhuis)
Postcode 1094CJ: 3896 EUR/m2 (77m2 E300000, appartement)
Postcode 1054AT: 6540 EUR/m2 (61m2 E399000, appartement)
Postcode 1079ST: 5723 EUR/m2 (76m2 E435000, appartement)
Postcode 1079ST: 5844 EUR/m2 (58m2 E339000, appartement)
Postcode 1079ST: 5434 EUR/m2 (115m2 E625000, appartement)
Postcode 1098PC: 5303 EUR/m2 (99m2 E525000, appartement)
Postcode 1087HC: 3186 EUR/m2 (102m2 E325000, appartement)
Postcode 1102RZ: 1575 EUR/m2 (73m2 E115000, appartement)
